frame,ctrl_name,cam_idx,led_id,depth_m,facing_cos,brightness,area
84025136999297.png,right_controller,0,21,0.31539,0.71606,36.0,1.00
84025136999297.png,right_controller,0,22,0.29627,0.34949,77.0,3.00
84025136999297.png,right_controller,0,23,0.30724,0.61910,154.0,5.00
84025136999297.png,right_controller,0,24,0.31365,0.73939,96.0,3.00
84025136999297.png,right_controller,0,26,0.29009,0.21951,70.0,3.50
84025136999297.png,right_controller,0,27,0.30070,0.45578,76.0,3.50
84025136999297.png,right_controller,0,28,0.28972,0.26660,90.0,2.50
84025136999297.png,right_controller,0,29,0.30600,0.61583,175.0,6.50
84025136999297.png,right_controller,0,30,0.28542,0.13827,56.0,3.00
84025136999297.png,right_controller,0,31,0.29537,0.41784,130.0,5.50
84025148094499.png,right_controller,0,20,0.30736,0.63225,102.0,6.00
84025148094499.png,right_controller,0,21,0.31558,0.71620,37.0,1.00
84025148094499.png,right_controller,0,22,0.29647,0.35008,79.0,3.00
84025148094499.png,right_controller,0,23,0.30742,0.61894,161.0,5.00
84025148094499.png,right_controller,0,24,0.31380,0.73890,103.0,3.00
84025148094499.png,right_controller,0,26,0.29028,0.22017,69.0,5.00
84025148094499.png,right_controller,0,27,0.30089,0.45617,88.0,3.50
84025148094499.png,right_controller,0,28,0.28987,0.26637,96.0,2.50
84025148094499.png,right_controller,0,29,0.30616,0.61540,186.0,6.50
84025148094499.png,right_controller,0,30,0.28560,0.13865,60.0,3.00
84025148094499.png,right_controller,0,31,0.29551,0.41721,132.0,6.50
84025170271802.png,right_controller,0,20,0.30675,0.62866,97.0,6.00
84025170271802.png,right_controller,0,21,0.31530,0.71811,37.0,1.00
84025170271802.png,right_controller,0,22,0.29634,0.35493,76.0,3.00
84025170271802.png,right_controller,0,23,0.30703,0.61919,155.0,5.00
84025170271802.png,right_controller,0,24,0.31324,0.73626,92.0,3.00
84025170271802.png,right_controller,0,26,0.29016,0.22513,69.0,3.50
84025170271802.png,right_controller,0,27,0.30071,0.45992,83.0,3.50
84025170271802.png,right_controller,0,28,0.28940,0.26469,92.0,2.50
84025170271802.png,right_controller,0,29,0.30566,0.61369,172.0,6.50
84025170271802.png,right_controller,0,30,0.28535,0.14114,54.0,3.00
84025170271802.png,right_controller,0,31,0.29490,0.41331,130.0,5.50
84025181355551.png,right_controller,0,20,0.30718,0.62917,104.0,6.00
84025181355551.png,right_controller,0,21,0.31572,0.71852,36.0,1.00
84025181355551.png,right_controller,0,22,0.29669,0.35409,78.0,3.00
84025181355551.png,right_controller,0,23,0.30749,0.62018,155.0,5.00
84025181355551.png,right_controller,0,24,0.31369,0.73715,100.0,3.00
84025181355551.png,right_controller,0,26,0.29047,0.22357,73.0,4.00
84025181355551.png,right_controller,0,27,0.30110,0.45987,82.0,3.50
84025181355551.png,right_controller,0,28,0.28973,0.26342,94.0,2.50
84025181355551.png,right_controller,0,29,0.30612,0.61489,182.0,6.50
84025181355551.png,right_controller,0,30,0.28564,0.13908,59.0,3.00
84025181355551.png,right_controller,0,31,0.29530,0.41328,138.0,5.50
84025203564058.png,right_controller,0,20,0.30705,0.62980,96.0,5.50
84025203564058.png,right_controller,0,21,0.31554,0.71815,36.0,1.00
84025203564058.png,right_controller,0,22,0.29649,0.35342,77.0,3.00
84025203564058.png,right_controller,0,23,0.30732,0.62003,160.0,5.00
84025203564058.png,right_controller,0,24,0.31355,0.73752,92.0,3.00
84025203564058.png,right_controller,0,26,0.29028,0.22302,71.0,4.00
84025203564058.png,right_controller,0,27,0.30091,0.45926,79.0,3.50
84025203564058.png,right_controller,0,28,0.28959,0.26404,98.0,2.50
84025203564058.png,right_controller,0,29,0.30597,0.61506,176.0,7.00
84025203564058.png,right_controller,0,30,0.28547,0.13908,53.0,3.00
84025203564058.png,right_controller,0,31,0.29518,0.41408,136.0,6.00
84025214690513.png,right_controller,0,20,0.30729,0.63891,93.0,6.00
84025214690513.png,right_controller,0,21,0.31470,0.70911,35.0,1.00
84025214690513.png,right_controller,0,22,0.29554,0.34134,76.0,3.00
84025214690513.png,right_controller,0,23,0.30664,0.61334,160.0,5.00
84025214690513.png,right_controller,0,24,0.31350,0.74129,93.0,3.00
84025214690513.png,right_controller,0,26,0.28952,0.21457,76.0,5.00
84025214690513.png,right_controller,0,27,0.29990,0.44645,87.0,3.50
84025214690513.png,right_controller,0,28,0.28992,0.27651,100.0,2.50
84025214690513.png,right_controller,0,29,0.30562,0.61387,177.0,6.50
84025214690513.png,right_controller,0,30,0.28528,0.14184,57.0,2.00
84025214690513.png,right_controller,0,31,0.29560,0.42723,134.0,6.00
84025236834280.png,right_controller,0,20,0.30696,0.62962,90.0,5.50
84025236834280.png,right_controller,0,21,0.31545,0.71813,36.0,1.00
84025236834280.png,right_controller,0,22,0.29641,0.35370,77.0,3.00
84025236834280.png,right_controller,0,23,0.30722,0.61987,150.0,5.00
84025236834280.png,right_controller,0,24,0.31346,0.73731,89.0,3.00
84025236834280.png,right_controller,0,26,0.29020,0.22343,74.0,4.00
84025236834280.png,right_controller,0,27,0.30082,0.45938,81.0,3.50
84025236834280.png,right_controller,0,28,0.28951,0.26422,95.0,2.50
84025236834280.png,right_controller,0,29,0.30588,0.61482,167.0,7.50
84025236834280.png,right_controller,0,30,0.28540,0.13950,55.0,2.00
84025236834280.png,right_controller,0,31,0.29509,0.41399,133.0,6.00
84025247928985.png,right_controller,0,20,0.30733,0.63118,94.0,5.50
84025247928985.png,right_controller,0,21,0.31562,0.71619,37.0,1.00
84025247928985.png,right_controller,0,22,0.29658,0.35129,75.0,2.00
84025247928985.png,right_controller,0,23,0.30742,0.61824,155.0,5.00
84025247928985.png,right_controller,0,24,0.31377,0.73778,92.0,3.00
84025247928985.png,right_controller,0,26,0.29041,0.22183,75.0,4.00
84025247928985.png,right_controller,0,27,0.30097,0.45671,87.0,3.50
84025247928985.png,right_controller,0,28,0.28992,0.26666,98.0,2.50
84025247928985.png,right_controller,0,29,0.30613,0.61422,177.0,7.50
84025247928985.png,right_controller,0,30,0.28571,0.14016,55.0,3.00
84025247928985.png,right_controller,0,31,0.29550,0.41637,137.0,6.00
84025270149462.png,right_controller,0,20,0.30709,0.62803,89.0,6.00
84025270149462.png,right_controller,0,21,0.31570,0.71851,38.0,1.00
84025270149462.png,right_controller,0,22,0.29674,0.35542,76.0,3.00
84025270149462.png,right_controller,0,23,0.30743,0.61943,156.0,5.50
84025270149462.png,right_controller,0,24,0.31360,0.73595,95.0,3.00
84025270149462.png,right_controller,0,26,0.29054,0.22540,76.0,4.00
84025270149462.png,right_controller,0,27,0.30112,0.46047,85.0,3.50
84025270149462.png,right_controller,0,28,0.28972,0.26380,98.0,2.50
84025270149462.png,right_controller,0,29,0.30604,0.61362,172.0,8.00
84025270149462.png,right_controller,0,30,0.28569,0.14078,54.0,3.00
84025270149462.png,right_controller,0,31,0.29523,0.41241,132.0,6.00
84025281223424.png,right_controller,0,20,0.30718,0.63658,94.0,5.50
84025281223424.png,right_controller,0,21,0.31498,0.71286,39.0,1.00
84025281223424.png,right_controller,0,22,0.29578,0.34475,78.0,3.00
84025281223424.png,right_controller,0,23,0.30690,0.61702,160.0,5.50
84025281223424.png,right_controller,0,24,0.31353,0.74121,96.0,3.00
84025281223424.png,right_controller,0,26,0.28964,0.21591,75.0,4.00
84025281223424.png,right_controller,0,27,0.30021,0.45104,88.0,3.50
84025281223424.png,right_controller,0,28,0.28967,0.27103,101.0,2.50
84025281223424.png,right_controller,0,29,0.30578,0.61591,178.0,8.00
84025281223424.png,right_controller,0,30,0.28517,0.13875,57.0,2.00
84025281223424.png,right_controller,0,31,0.29539,0.42295,138.0,6.00
84025303431514.png,right_controller,0,20,0.30730,0.63180,95.0,6.00
84025303431514.png,right_controller,0,21,0.31555,0.71602,41.0,1.00
84025303431514.png,right_controller,0,22,0.29647,0.35059,78.0,3.00
84025303431514.png,right_controller,0,23,0.30736,0.61839,161.0,6.00
84025303431514.png,right_controller,0,24,0.31374,0.73831,97.0,3.00
84025303431514.png,right_controller,0,26,0.29030,0.22103,79.0,4.00
84025303431514.png,right_controller,0,27,0.30088,0.45625,85.0,3.50
84025303431514.png,right_controller,0,28,0.28986,0.26683,103.0,2.50
